"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"W";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"1";"50.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"2";"55.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"3";"55.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Bench Press (Barbell)";"4";"60.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Incline Bench Press (Dumbbell)";"1";"20.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Incline Bench Press (Dumbbell)";"2";"20.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Incline Bench Press (Dumbbell)";"3";"18.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Press (Machine)";"1";"60.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Fly";"1";"85.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Fly";"2";"80.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Chest Fly";"3";"80.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Lateral Raise (Machine)";"1";"5.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Lateral Raise (Machine)";"2";"7.5";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Lateral Raise (Machine)";"3";"10.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"1";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"2";"60.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"3";"80.0";"5";"";"";"";"";"Chest, Shoulders, Triceps"
"1";"2024-08-31 00:03:19";"Push";"3891";"Triceps Pushdown (Cable - Straight Bar)";"4";"60.0";"7";"";"";"";"";"Chest, Shoulders, Triceps"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Wide Pull Up";"1";"0.0";"7";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Wide Pull Up";"2";"0.0";"6";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Wide Pull Up";"3";"0.0";"3";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bent Over One Arm Row (Dumbbell)";"1";"20.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bent Over One Arm Row (Dumbbell)";"2";"22.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bent Over One Arm Row (Dumbbell)";"3";"24.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Lat Pulldown - Underhand (Cable)";"1";"34.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Lat Pulldown - Underhand (Cable)";"2";"51.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Lat Pulldown - Underhand (Cable)";"3";"57.0";"11";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Seated Row (Cable)";"1";"72.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Seated Row (Cable)";"2";"86.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Seated Row (Cable)";"3";"86.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bicep Curl (Barbell)";"1";"25.0";"12";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bicep Curl (Barbell)";"2";"25.0";"9";"";"";"";"";"Back, Biceps, Core"
"2";"2024-08-31 17:27:50";"Pull";"3214";"Bicep Curl (Barbell)";"3";"25.0";"8";"";"";"";"";"Back, Biceps, Core"
"3";"2024-09-02 01:37:39";"Legs";"186795";"Squat (Smith Machine)";"W";"50.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Squat (Smith Machine)";"1";"60.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Squat (Smith Machine)";"2";"70.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Seated Leg Press (Machine)";"1";"70.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Seated Leg Press (Machine)";"2";"70.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Seated Leg Press (Machine)";"3";"80.0";"10";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Hip Thrust (Barbell)";"1";"10.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Hip Thrust (Barbell)";"2";"30.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Hip Thrust (Barbell)";"3";"40.0";"11";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Lying Leg Curl (Machine)";"1";"60.0";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Lying Leg Curl (Machine)";"2";"70.0";"10";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Lying Leg Curl (Machine)";"3";"70.0";"10";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Leg Extension (Machine)";"1";"40.8233133";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Leg Extension (Machine)";"2";"45.359237";"12";"";"";"";"";""
"3";"2024-09-02 01:37:39";"Legs";"186795";"Leg Extension (Machine)";"3";"47.62719885";"10";"";"";"";"";""
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"W";"40.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"1";"45.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"2";"50.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"3";"60.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Bench Press (Barbell)";"4";"60.0";"8";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Incline Bench Press (Dumbbell)";"1";"18.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Incline Bench Press (Dumbbell)";"2";"18.0";"10";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Incline Bench Press (Dumbbell)";"3";"18.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"1";"80.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"2";"85.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"3";"85.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Chest Fly";"4";"85.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Lateral Raise (Machine)";"1";"10.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Lateral Raise (Machine)";"2";"10.0";"11";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Lateral Raise (Machine)";"3";"10.0";"9";"";"";"";"";"Chest, Shoulders, Triceps"
"4";"2024-09-04 05:31:50";"Push";"3785";"Triceps Pushdown (Cable - Straight Bar)";"1";"43.0";"12";"";"";"";"";"Chest, Shoulders, Triceps"
